carapace_width,chela_heigth,sex_category
106,140,m
129,270,m
119,146,m
115,186,m
97,110,m
94,100,m
158,305,m
149,293,m
132,234,m
135,245,m
147,320,m
141,262,m
128,232,m
156,328,m
121,214,m
135,250,m
138,252,m
148,295,m
137,267,m
124,220,m
119,220,m
147,293,m
93,112,m
124,168,m
132,230,m
121,207,m
111,125,m
100,112,m
57,59,m
63,70,m
50,51,m
55,61,m
153,322,m
134,283,m
143,290,m
118,210,m
115,147,m
122,212,m
114,152,m
122,212,m
154,302,m
155,330,m
154,342,m
145,273,m
153,310,m
162,360,m
163,348,m
158,333,m
134,262,m
135,253,m
162,333,m
145,284,m
116,220,m
118,216,m
118,210,m
135,265,m
157,332,m
138,275,m
143,272,m
136,236,m
136,263,m
133,272,m
137,270,m
118,222,m
89,103,m
134,255,m
87,105,m
142,265,m
124,220,m
120,200,m
120,242,m
158,338,m
151,294,m
150,290,m
150,274,m
139,273,m
117,153,m
161,326,m
93,103,m
114,145,m
67,74,m
118,152,m
130,222,m
115,140,m
150,306,m
100,112,m
115,144,m
115,148,m
115,153,m
116,220,m
97,120,m
114,150,m
117,223,m
106,190,m
138,270,m
120,158,m
144,260,m
127,230,m
131,261,m
158,320,m
145,264,m
111,142,m
118,243,m
131,240,m
123,170,m
103,130,m
145,273,m
142,262,m
126,180,m
124,182,m
123,205,m
84,98,m
146,263,m
146,312,m
111,204,m
127,174,m
155,302,m
120,172,m
137,270,m
138,250,m
114,140,m
142,300,m
120,154,m
136,234,m
116,140,m
152,290,m
134,248,m
125,220,m
133,250,m
110,141,m
157,318,m
117,153,m
168,340,m
158,290,m
93,100,m
85,90,m
122,170,m
134,178,m
138,252,m
114,155,m
113,146,m
107,140,m
108,125,m
99,130,m
137,240,m
115,157,m
112,182,m
88,92,m
114,132,m
88,106,m
170,320,m
143,252,m
169,350,m
136,255,m
146,260,m
162,350,m
42,40,m
149,287,m
53,52,m
136,265,m
137,270,m
138,282,m
108,128,m
137,252,m
143,274,m
113,196,m
117,140,m
102,125,m
109,144,m
141,275,m
141,278,m
126,254,m
121,212,m
109,130,m
117,147,m
118,157,m
116,220,m
118,154,m
90,102,m
141,280,m
106,130,m
137,250,m
146,280,m
112,145,m
106,134,m
140,271,m
159,310,m
155,317,m
138,277,m
117,147,m
106,173,m
88,100,m
138,270,m
121,230,m
133,282,m
113,130,m
140,278,m
127,226,m
118,195,m
110,134,m
117,170,m
106,125,m
94,86,m
141,269,m
108,134,m
134,286,m
134,230,m
131,182,m
56,62,m
134,265,m
117,230,m
120,160,m
108,160,m
67,70,m
157,320,m
156,328,m
142,284,m
165,358,m
126,169,m
108,145,m
129,230,m
111,190,m
153,320,m
