length,stage
12,I
12,I
13,I
14,I
14,I
14,I
14,I
14,I
14,I
15,I
15,I
15,I
15,I
15,I
15,I
15,I
15,I
15,I
15,I
16,I
16,I
16,I
16,I
16,I
16,I
16,I
16,I
16,I
16,I
16,I
16,I
16,I
16,I
16,I
16,I
16,I
16,I
16,I
17,I
17,I
17,I
17,I
17,I
17,I
17,I
17,I
17,I
17,I
17,I
17,I
17,I
17,I
17,I
17,I
17,I
17,I
17,I
17,I
17,I
17,I
17,I
17,I
17,I
17,I
17,I
17,I
17,I
18,I
18,I
18,I
18,I
18,I
18,I
18,I
18,I
18,I
18,I
18,I
18,I
18,I
18,I
18,I
18,I
18,I
18,I
18,I
18,I
18,I
18,I
18,I
18,I
18,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
19,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
20,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
21,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
22,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
23,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
24,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
25,I
26,I
26,I
26,I
26,I
26,I
26,I
26,I
26,I
26,I
26,I
26,I
26,I
26,I
26,I
26,I
26,I
26,I
26,I
26,I
26,I
26,I
26,I
26,I
26,I
26,I
26,I
26,I
26,I
26,I
27,I
27,I
27,I
27,I
27,I
27,I
27,I
27,I
27,I
27,I
27,I
27,I
27,I
27,I
27,I
27,I
27,I
28,I
28,I
28,I
28,I
28,I
28,I
28,I
28,I
28,I
28,I
28,I
28,I
28,I
28,I
28,I
28,I
28,I
28,I
29,I
29,I
29,I
29,I
29,I
29,I
29,I
29,I
29,I
29,I
29,I
29,I
29,I
29,I
29,I
29,I
30,I
30,I
30,I
30,I
30,I
31,I
31,I
31,I
32,I
32,I
32,I
32,I
32,I
32,I
33,I
33,I
33,I
33,I
35,I
36,I
36,I
38,I
38,I
43,I
44,I
18,II
18,II
19,II
20,II
20,II
20,II
20,II
20,II
20,II
20,II
20,II
21,II
21,II
21,II
21,II
21,II
21,II
21,II
21,II
21,II
21,II
21,II
21,II
21,II
21,II
21,II
21,II
21,II
21,II
21,II
21,II
21,II
21,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
22,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
23,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
24,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
25,II
26,II
26,II
26,II
26,II
26,II
26,II
26,II
26,II
26,II
26,II
26,II
26,III
26,III
26,III
26,III
26,III
26,III
26,III
26,III
26,III
26,III
26,III
26,III
26,III
26,III
26,III
26,III
26,III
26,III
26,III
26,III
26,III
26,III
26,III
26,III
26,III
26,III
26,III
